过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x44c49687cd02e06d6ef28097b7da7f375c0b9604,4,5,2019/4/18,2018/8/24,127.72,228
0xaf2ffac1edd9632a194c1a90b821cb5c4a8ea9b4,4,4,2019/1/14,2018/11/21,91.9543,8
0xbb37758768812a241f497bfd32b239fd90c5537e,4,5,2019/3/29,2018/9/10,1019.32,15
0x8a43d933a640fcd4a5382fc38c668302e1acba9f,4,5,2019/5/3,2018/8/8,7.95618,9
0x352f83bae22283b7fccb84e848aded51c4fa602f,4,7,2020/8/4,2020/2/12,139.521,87
0x3af10ffca16d900cb898689733a823a3c24611de,4,4,2021/2/25,2020/3/11,49.8921,8
0x1acbeee64ef56391508120de4dbf646dc00a8a8f,4,4,2021/1/9,2019/8/13,3.32,49
0xa5ca75ea35c4e919415d9110431afac1311d3f6e,4,9,2019/5/25,2018/8/26,159.418,288
0x3aa1bada5b1900ba2078f1e0c1c30fed9d9e74be,4,10,2020/5/22,2020/3/9,1079.95,19
0x08e8ea6065139eb82d019ad6b2575d459673a027,4,4,2019/6/12,2018/9/27,100.231,61
0x2890652774b3a6f6754100893197bed16fb761de,4,5,2020/2/9,2019/11/9,9.42421,10
0x6b60f2b783d2c1eba12a652ee4280d54343044c8,4,5,2019/2/1,2018/12/24,42.2402,10
0x2144936aec196cb37f4819474d3d229f74584f18,4,4,2019/6/12,2018/8/5,1910.58,415
0xc45d716db9f24815165a591b56015f6172209f7a,4,8,2019/1/31,2018/12/1,551.513,18
0xd8640eba483b72860ec14101eca39d7ed85a64dd,4,13,2018/10/25,2018/10/2,154.53,27
0x18fe7ac6f85b29ad7cd955a5aa5fbfdd036006ea,4,5,2021/2/19,2019/8/28,79.988,75
0x0bf3e9b3959e7dbb818081e65896be2d77c9d1ee,4,8,2020/8/7,2019/6/28,1122,40
0x1b4ec8f17d54342d30c668d0d58be61779c29e58,4,4,2019/5/21,2018/10/28,6.985,10
0x2b99ed2fe4cad6cb4448a44e4c0e94b89504e90d,4,4,2018/10/25,2018/10/8,7.91862,7
0x3a1b73a1c503b1e142a7840de370d142b0cdbf5c,4,4,2020/6/17,2020/3/11,45.4798,16
0x1f18e7737aef81b2c070e10a409e7a2da126b5c4,4,5,2021/1/8,2019/9/6,36.3882,41
0x066b5f72ef61cf6fde72442e29cce48fd9a8eee7,4,4,2018/12/27,2018/12/23,8.26943,5
0x0ec20dca6a9655a116c3b6ce793d4f5fea52216b,4,4,2020/12/14,2019/7/19,69.1674,130
0xee5c1174a77304091583fadd6d5e0afef777abe9,4,5,2019/11/15,2018/10/27,104.999,70
0x3a72316a2dd4ecc5e73c0f45f35e9f79240cf6a6,4,5,2019/4/19,2018/10/9,21.643,18
0x49c428cd3ac9e4cdcfa943213d0d9a86e2a6c59a,4,8,2019/1/7,2018/12/25,58.859,14
0x035b0a11c75789260ee74b02ff96704cf1c938fe,4,4,2020/7/19,2019/7/14,60.475,63
0xc1d09c4241e154b59ede01e6bda55bd51a896518,4,14,2018/10/14,2018/10/11,2160.26,20
0x23450e7b0b85284c9775cbe20a48facd633a3478,4,8,2020/12/9,2019/10/27,15.6132,27
0x5feb16d0d6f5f0001987733e205f732ff9acaebc,4,4,2018/8/12,2018/8/5,9.79779,7
0x0e0d27429f3487c3e4e3546cac9359b8460cba28,4,4,2019/12/19,2019/7/1,250.59,14
0x02b9813db4988581527a2230c7a141f9819af34c,4,4,2021/2/15,2019/6/16,76.98,151
0x2818e66c855caa781f5334c037d224c0b6ef7e33,4,4,2020/2/4,2019/11/6,7.84628,8
