Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      286    0.011    0.000    0.011    0.000 api_implementation.py:141(Type)
      103    0.011    0.000    0.015    0.000 ssl.py:130(<lambda>)
       28    0.011    0.000    0.044    0.002 ipaddress.py:2143(__init__)
       88    0.011    0.000    0.014    0.000 six.py:137(__init__)
      252    0.011    0.000    0.011    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      128    0.011    0.000    0.043    0.000 re.py:184(sub)
      199    0.011    0.000    0.011    0.000 _signatures.py:780(<genexpr>)
      101    0.011    0.000    0.407    0.004 operator.py:14(<genexpr>)
       16    0.010    0.001    0.010    0.001 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
       84    0.010    0.000    0.079    0.001 pyparsing.py:3390(__init__)
      266    0.010    0.000    0.014    0.000 pyparsing.py:3270(<genexpr>)
      257    0.010    0.000    0.014    0.000 utils.py:5(<genexpr>)
      189    0.010    0.000    0.016    0.000 __init__.py:420(<genexpr>)
       83    0.010    0.000    0.095    0.001 pyparsing.py:1821(__add__)
       94    0.010    0.000    0.023    0.000 posixpath.py:144(basename)
      250    0.010    0.000    0.010    0.000 {built-in method posix.getcwd}
      336    0.010    0.000    0.010    0.000 version.py:314(<genexpr>)
      240    0.010    0.000    0.014    0.000 registry.py:183(__iter__)
        7    0.010    0.001    0.047    0.007 {method 'union' of 'set' objects}
    213/9    0.010    0.000    0.083    0.009 grammar.py:423(<genexpr>)
      308    0.010    0.000    0.030    0.000 __init__.py:2344(_normalize_cached)
      200    0.009    0.000    1.216    0.006 operator.py:8(should_curry)
      257    0.009    0.000    0.045    0.000 typing.py:1107(<genexpr>)
       66    0.009    0.000    0.048    0.001 <frozen importlib._bootstrap_external>:1196(__init__)
        1    0.009    0.009    0.011    0.011 account.py:58(Account)
      350    0.009    0.000    0.009    0.000 enum.py:594(name)
      103    0.009    0.000    0.013    0.000 ssl.py:125(<lambda>)
      257    0.009    0.000    0.018    0.000 __init__.py:2635(key)
      418    0.009    0.000    0.009    0.000 typing.py:975(<genexpr>)
       92    0.009    0.000    0.227    0.002 typing.py:1322(__getitem__)
        1    0.009    0.009   55.063   55.063 trans_reparse.py:2(<module>)
